Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
deimos.games/,France,Deimos Games Development,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
delveinteractive.com/,UK,Delve Interactive,?,X,X,?,?,X,?,2,?,?,X,?,4,B,?,?,?,?
denki.co.uk/,UK,Denki,Curve Digital,X,?,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
deqaf.com/,Russia,DeqafStudio,?,X,X,?,?,?,?,9,?,?,X,?,3,C,?,?,?,?
desktopdaydreams.com/,UK,Desktop Daydreams,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
destenebres.com/,France,Le Studio des Ténèbres,?,X,X,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
destructivecreations.pl/,Poland,Destructive Creations,Destructive Creations,X,?,?,?,X,?,3,?,?,X,?,8,A,X,?,?,?
detach-entertainment.com/,Germany,Detach Entertainment,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
deuscraft.com/,Russia,Deus Craft,?,?,X,?,?,?,?,40,?,?,-,?,-,-,?,?,?,?
dev-zoo.net/,Germany,Developers Zoo,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
dev4play.com/,Poland,Dev4play,No Gravity Games,X,X,?,?,?,?,8,?,?,X,?,3,C,?,?,?,?
devalley-entertainment.com/,France,DEVALLEY STUDIO,?,X,X,?,?,?,?,11,?,?,X,?,2,C,?,?,?,?
devilishgames.com/en/games/,Spain,Devilish games,?,X,X,?,?,X,?,14,?,?,X,?,3,C,?,?,?,?
devioustech.com/,Romania,Devious Technologies,?,X,?,X,?,?,?,1,?,?,X,?,4,B,?,?,?,?
devm-games.com/,Sweden,Devm-Games,?,X,X,?,?,X,?,28,?,?,X,?,4,B,?,?,?,?
dg-company.com/,Kazakhstan,DreamGate,?,X,X,?,?,?,X,9,?,?,X,?,3,C,?,?,?,?
diabotical.com/,Sweden,The GD Studio,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
diamondbrickout.com/,UK,Takeover Interactive,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
dice.se/,Sweden,Dice,Electronic Arts,X,?,?,?,X,?,41,?,?,X,?,13,A,?,?,?,?
dienogames.com/,Finland,Dieno games,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
differenttales.com/,Poland,Different Tales,Walkabout,X,X,?,?,X,?,2,?,?,X,?,2,C,?,?,?,?
digidiced.com/,Germany,DIGIDICED,?,X,X,?,?,?,?,11,?,?,X,?,2,C,?,?,?,?
digital-arrow.com/,Serbia,Digital arrow,THQ Nordic,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
digital-legends.com/games.html,Spain,Digital Legends,?,?,X,?,?,?,?,16,?,?,-,?,-,-,?,?,?,?
digitalcombatsimulator.com/ru/,Russia,Eagle Dynamics,?,X,?,?,?,?,?,3,?,X,X,money.yandex.ru/,7,B,?,?,?,?
digitalcybercherries.com/,UK,Digital Cybercherries,?,X,?,X,?,?,?,2,?,?,X,?,4,B,?,?,?,?
